0.0	1
980.0	60
1914.0	59
1916.0	58
1920.0	57
1928.0	56
1934.0	55
1947.0	52
1948.0	51
1952.0	50
1956.0	49
1958.0	48
1961.0	47
1962.0	45
1964.0	43
1967.0	41
1970.0	40
1971.0	39
1973.0	38
1974.0	34
1975.0	33
1976.0	32
1978.0	31
1979.0	30
1983.0	28
1984.0	27
1985.0	26
1986.0	25
1987.0	24
1989.0	23
1990.0	22
1993.0	21
1996.0	19
1997.0	18
2000.0	16
2001.0	14
2002.0	13
2005.0	11
2008.0	10
2009.0	9
2021.0	8
2023.0	7
2026.0	5
2032.0	4
2033.0	3
2049.0	2
2053.0	1
2058.0	0
